lastweek,predicted
6340.0,4386.2
9600.0,8834.2
1980.0,3728.8
2500.0,2044.6
6360.0,10183.28
6880.0,8100.0
4020.0,9281.24
15200.0,10079.6
19680.0,25806.6
2840.0,8537.6
5480.0,8680.0
610.0,4906.82
31280.0,24084.2
15400.0,9109.8
9180.0,18805.4
8980.0,7533.0
17340.0,10690.4
16120.0,19869.0
13880.0,17987.4
10260.0,10412.6
5780.0,4984.0
20780.0,16563.6
23340.0,16348.0
21520.0,21118.2
10960.0,10590.6
25580.0,18991.6
8440.0,5923.2
23740.0,20580.8
5720.0,4169.8
23160.0,22799.6
4520.0,4072.8
3700.0,4988.6
12780.0,10698.85
9820.0,10086.8
21760.0,18976.6
11600.0,10216.4
7760.0,10854.8
7020.0,13696.0
18240.0,17437.6
12620.0,10785.63
6120.0,3443.4
18600.0,15347.4
12740.0,8054.4
20300.0,11153.08
1100.0,20743.8
7120.0,4731.2
24160.0,20475.6
14420.0,12090.8
14000.0,12728.2
10820.0,8869.8
11340.0,6048.0
23960.0,20965.4
11140.0,14302.7
11940.0,10669.5
13790.0,12018.7
20280.0,14149.2
21160.0,18999.2
4760.0,4148.87
6200.0,5084.47
20520.0,20617.8
11420.0,8992.6
6080.0,4861.4
10740.0,8219.8
6820.0,4092.2
31020.0,22224.6
240.0,344.7
6440.0,7618.1
19940.0,19819.4
11560.0,12361.0
13980.0,22268.2
8200.0,10255.6
11400.0,20206.2
23580.0,15104.2
29640.0,17402.6
5140.0,6236.2
3380.0,4993.95
8600.0,8035.0
5960.0,10588.2
13980.0,6750.8
10280.0,16250.2
6080.0,18307.2
7040.0,14631.0
10380.0,13809.8
3060.0,3935.8
12720.0,12319.4
25620.0,15544.4
640.0,353.2
12580.0,8422.0
10000.0,11382.5
10780.0,9371.96
3440.0,3589.8
8620.0,9692.8
4980.0,4769.0
12100.0,8755.4
6880.0,14363.2
360.0,4359.8
27620.0,20534.2
16180.0,14874.4
16420.0,9271.8
11300.0,9160.0
